seed,r2,mae,separation_quality,n_trees,max_questions_per_tree,total_questions,n_candidate_rules,n_pareto_rules,n_diverse_rules,min_pairwise_trajectory_distance,mean_pairwise_trajectory_distance
533,0.3572891787345085,3249.0214468173776,7279.115935745133,9,18,78,,,,,
534,0.41615055558639336,3141.4107097911965,7457.447675491528,10,6,59,,,,,
535,0.3606368501608799,3545.63605185606,6819.063391531607,10,10,76,,,,,
536,0.3703902792705531,3505.788025727456,7288.617603557108,9,11,72,,,,,
537,0.4931262325388426,3172.73875052159,7260.609416917051,9,12,69,,,,,
538,0.382046172970949,3299.840928903452,6849.2149538197855,10,8,73,,,,,
539,0.41237988728740715,3229.6020645142175,7188.530865989061,9,18,65,,,,,
540,0.4559172710083219,3263.0474719787157,7373.983887413707,8,12,59,,,,,
541,0.2425893422813874,3777.473268242975,7314.486682868738,5,9,42,,,,,
542,0.37816309944651605,3916.823920878469,7554.633448248234,5,18,35,,,,,
543,0.3587406329911139,3457.972185355948,6632.356165782586,6,13,46,,,,,
544,0.34199664636574756,3568.2856310687503,7399.345592321631,10,14,78,,,,,
545,0.40960033770438775,3413.834738922856,7404.523217171776,10,18,80,,,,,
546,0.42923655241592296,3367.448179949141,6751.677071232122,9,7,62,,,,,
547,0.3051902532979123,3869.492200753172,6905.91465373829,7,7,44,,,,,
548,0.394091807205615,3548.6932168011426,7070.292832635481,10,12,78,,,,,
549,0.3218208822365842,3844.510904496166,6768.998644137435,5,13,37,,,,,
550,0.349299320357084,3250.4471755863083,7327.604618784598,10,8,73,,,,,
551,0.3954883506354412,3550.8661978993932,6864.039818178491,10,8,67,,,,,
552,0.4066346448999415,3380.381211902946,7629.023817970255,7,10,52,,,,,
553,0.3719226975183978,3324.5542916898,7514.719162358156,7,11,55,,,,,
554,0.3656965333734924,3355.8493788485666,7504.615740566852,9,16,72,,,,,
555,0.3111261122938008,3403.604951113738,6888.24696455534,7,15,51,,,,,
556,0.3899199445280568,3277.8186233358483,7308.680574571975,6,6,36,,,,,
557,0.4030803016451109,3447.385725961549,6355.191557942952,7,16,46,,,,,
558,0.5817888004506254,2668.6853752066477,6977.117815602732,6,10,41,,,,,
559,0.32595750924605404,3232.8017153578444,7010.293219479376,8,9,62,,,,,
560,0.42335453379670895,3195.7590942503443,7055.162214803197,7,8,52,,,,,
561,0.44111482511861144,3215.758284765584,7029.528293744107,6,14,40,,,,,
562,0.39073596989192494,3287.7578613701044,7582.060701964529,8,8,58,,,,,
563,0.48193560889386533,3167.61558769705,7693.981049183848,8,17,62,,,,,
564,0.36841495538570246,3851.4446030069057,7731.5466683173545,6,10,50,59.0,8.0,2.0,1.9866466397747202,1.9866466397747202
565,0.3829895859552055,3335.637236704776,7673.913643600099,9,6,54,,,,,
566,0.38184070808495196,3269.5613573952305,7497.282460849597,9,14,60,,,,,
567,0.38112197942307735,3458.0578132678847,7514.543064143302,9,9,66,,,,,
568,0.4071031858006433,3403.0065945529605,7086.546201392045,9,12,77,,,,,
569,0.4189280768253898,3335.034185240666,6654.424903947703,7,13,61,,,,,
570,0.44335598354310635,3186.889092215559,7029.779691819109,10,18,70,,,,,
571,0.3436974908710204,3654.2764432587796,6674.293306666484,6,7,40,,,,,
572,0.3425419179504009,3453.283549939798,5808.398286165964,6,6,36,,,,,
573,0.3786779674601197,3328.763723472271,7085.460374666912,5,7,34,,,,,
574,0.39833529588386873,3464.7908723501355,7367.107015973728,8,8,58,,,,,
575,0.3723545436260378,3231.029172842924,6979.243416961206,6,15,44,,,,,
576,0.4023319990161446,3349.3510917383037,7341.266805760405,8,12,63,,,,,
577,0.3744421714617421,3281.080561310195,7519.230242826662,8,7,52,,,,,
578,0.38884766187360864,3224.489180278102,6896.2184592066,10,12,84,,,,,
579,0.3022546586867847,3242.497756484237,7659.671226840804,10,6,59,,,,,
580,0.35983650605307893,3557.3876772493027,6478.241346505164,5,8,35,,,,,
581,0.3047892428073339,3177.582251084332,7210.192367806863,10,7,69,,,,,
582,0.5201148504621218,3207.232274517243,7241.228068852369,6,12,45,,,,,
583,0.3901168537737367,3354.2584600263613,6491.515832073049,6,7,42,,,,,
584,0.4030456043612639,3310.9160456257146,6683.123543145165,6,9,48,,,,,
585,0.25909591584328406,3819.2576930493733,7366.525157086267,5,12,35,,,,,
586,0.2701312733774571,3428.633624921372,7034.024960356396,6,7,38,,,,,
587,0.39113448840931286,3668.0717543200612,5218.611405230488,7,6,41,,,,,
588,0.3645930230876171,3378.4916659689925,7012.70956213885,7,10,60,,,,,
589,0.4541566861126227,3415.6877070404767,6772.698572188495,5,13,39,,,,,
590,0.48219110422157296,3145.803772687121,6735.328527112222,7,13,62,,,,,
591,0.3290469022221296,3170.341964263717,7283.417557602533,8,16,58,,,,,
592,0.4538434164188352,3344.229124691265,6868.760005526561,7,11,56,,,,,
593,0.4741183389346523,3164.077403139226,7255.419975231059,9,18,65,,,,,
594,0.43276441096560403,3287.6984390115067,7196.740923961009,6,10,44,,,,,
595,0.42106867030943296,3468.5861982315455,7174.895609946142,8,15,59,,,,,
596,0.3613348009381123,3241.36068269134,6960.261504251891,8,9,65,,,,,
597,0.3274227396694609,3361.019666406081,6685.016479963192,5,7,34,,,,,
598,0.38638948401253714,3195.9337655062513,6935.185407320873,8,12,65,,,,,
599,0.3524800585618605,3532.2962956241518,6904.777094130521,6,9,44,,,,,
600,0.297090491836701,3594.2868432431246,7344.3296413918315,9,17,62,,,,,
601,0.31642760970475725,3341.7029945405484,6459.39658606795,6,12,56,,,,,
602,0.38688636201751603,3219.8559006911382,7191.250320903789,6,14,52,,,,,
603,0.4396939363885979,3166.2570356876095,7513.897767548423,8,16,60,,,,,
